Symbol,Qty,Type,Open date,Adj cost
ESP0.DEX,19,Buy,28/04/2020,481.25
IWDA.AMS,9,Buy,28/05/2020,482.91
IWDA.AMS,20,Buy,02/03/2021,1268.81
IWDA.AMS,19,Buy,04/05/2021,1284.88
VWCE.DEX,15,Buy,29/09/2021,1483.13
IWDA.AMS,28,Buy,03/11/2021,2141.70
IWDA.AMS,18,Buy,03/12/2021,1383.54
IWDA.AMS,18,Buy,03/01/2022,1433.28
